"","PIB","Emprego","Câmbio"
"BRA-1950",86574.058171913,20.844030380249,7.89407279338927e-15
"BRA-1951",90813.6765960718,21.3994445800781,7.9297923287936e-15
"BRA-1952",99449.221807915,21.9735088348389,7.9297923287936e-15
"BRA-1953",104503.139389144,22.5669994354248,8.56084232882142e-15
"BRA-1954",113076.079199048,23.1807308197021,1.30972550937989e-14
"BRA-1955",120375.315183613,23.815559387207,1.78598927596197e-14
"BRA-1956",124745.030504981,24.4723834991455,2.05984109806849e-14
"BRA-1957",137270.129797878,25.152135848999,2.17890688843483e-14
"BRA-1958",146030.662023065,25.8558101654053,2.75042348901555e-14
"BRA-1959",157291.121007259,26.5844402313232,4.34590750039137e-14
"BRA-1960",169499.82710784,27.3391094207764,8.09648504042319e-14
"BRA-1961",193353.921236025,27.9719753265381,1.1668463188936e-13
"BRA-1962",203356.220512401,28.6327171325684,1.67883000412059e-13
"BRA-1963",216464.956193858,29.3229274749756,2.48847842748068e-13
"BRA-1964",225476.628021434,30.044282913208,5.4175011869919e-13
"BRA-1965",241192.094494337,30.7985744476318,8.21555054840173e-13
"BRA-1966",250752.649905435,31.5877113342285,9.60862217154973e-13
"BRA-1967",265130.389811011,32.4137191772461,1.15255841598141e-12
"BRA-1968",294824.521719399,33.2787628173828,1.46451128293693e-12
"BRA-1969",313737.917627444,34.1851539611816,1.76217616629804e-12
"BRA-1970",348008.565960001,35.1353416442871,1.98785378344809e-12
"BRA-1971",387472.737339883,36.8402824401855,2.28822086312487e-12
"BRA-1972",433736.982178663,38.5371589660645,2.56796001993275e-12
"BRA-1973",494330.03858888,43.271411895752,2.65094052783721e-12
"BRA-1974",534617.93673396,44.2688789367676,2.9383610615176e-12
"BRA-1975",562257.684062948,45.3798446655273,3.5168444719385e-12
"BRA-1976",619945.322447678,46.6129684448242,4.61870733099062e-12
"BRA-1977",650508.626844197,50.8695793151855,6.12086729455843e-12
"BRA-1978",682838.905598612,52.2768936157227,7.81974984419137e-12
"BRA-1979",728998.815617153,51.3163566589355,1.1660690720063e-11
"BRA-1980",796285.406298594,50.5856437683105,2.28123189244443e-11
"BRA-1981",762443.276530868,52.4308891296387,4.03001093531326e-11
"BRA-1982",768771.555725847,55.0703544616699,7.76854427171099e-11
"BRA-1983",746246.549143448,55.2561569213867,2.49718172221135e-10
"BRA-1984",786543.862797179,57.8933143615723,7.99741323974137e-10
"BRA-1985",848279.6905878,63.2986183166504,2.68324234084592e-09
"BRA-1986",911815.839412853,63.4470024108887,5.90968226749251e-09
"BRA-1987",944002.938544157,65.3440856933594,1.6976307824584e-08
"BRA-1988",943436.536780884,67.2345809936523,1.1354767374037e-07
"BRA-1989",973249.131343441,68.7518463134766,1.22638743473744e-06
"BRA-1990",930912.794129727,70.2943267822266,2.95572678942699e-05
"BRA-1991",940501.195909256,70.8154296875,0.000175961443086024
"BRA-1992",936266.927038139,71.0405044555664,0.00195302352248811
"BRA-1993",981546.606817014,71.4485931396484,0.038276610926673
"BRA-1994",1038989.74724554,72.3463592529297,0.664683514070577
"BRA-1995",1082872.45162304,73.3217163085938,0.917666666666667
"BRA-1996",1106159.91572043,71.5877380371094,1.0051
"BRA-1997",1143495.62753748,72.0412368774414,1.07799166666667
"BRA-1998",1143899.86728758,72.8376922607422,1.16051666666667
"BRA-1999",1146806.11932456,73.8613204956055,1.81393284657213
"BRA-2000",1196189.85213025,78.1018981933594,1.82942312207561
"BRA-2001",1211897.24607939,78.6568145751953,2.34963170932244
"BRA-2002",1244110.61509865,81.5931549072266,2.92036301775519
"BRA-2003",1258375.83403078,82.7668762207031,3.07747511847801
"BRA-2004",1330257.94085989,87.1618957519531,2.92511944951586
"BRA-2005",1372289.75,89.623291015625,2.43439003623188
"BRA-2006",1426591.73649897,91.5008239746094,2.17532666666667
"BRA-2007",1513491.2970311,92.6155548095703,1.94705833333333
"BRA-2008",1591625.35120867,95.6197738647461,1.83376666666667
"BRA-2009",1586352.13293198,96.2312698364258,1.99942817314426
"BRA-2010",1705861.68269867,99.3608551025391,1.75922671058718
"BRA-2011",1752480.91799407,101.324989318848,1.67282875525659
